sequence,filename,product_name,product_type_id,product_brand_id,prompt
47,images/products/catalog-047-typescript.png,Typescript Apex Hat 047,2,5,"studio product photo of a premium winter knit hat, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by Typescript branding, subtle accent color variation, product shot for Typescript Apex Hat 047"
48,images/products/catalog-048-redis.png,Redis Stride Hat 048,2,6,"studio product photo of a premium winter knit hat, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by Redis branding, subtle accent color variation, product shot for Redis Stride Hat 048"
49,images/products/catalog-049-angular.png,Angular Echo Hat 049,2,1,"studio product photo of a premium winter knit hat, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by Angular branding, subtle accent color variation, product shot for Angular Echo Hat 049"
50,images/products/catalog-050-netcore.png,NetCore Vertex Hat 050,2,2,"studio product photo of a premium winter knit hat, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by NetCore branding, subtle accent color variation, product shot for NetCore Vertex Hat 050"
51,images/products/catalog-051-vscode.png,VS Code Velocity Boot 051,3,3,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by VS Code branding, subtle accent color variation, product shot for VS Code Velocity Boot 051"
52,images/products/catalog-052-react.png,React Summit Boot 052,3,4,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by React branding, subtle accent color variation, product shot for React Summit Boot 052"
53,images/products/catalog-053-typescript.png,Typescript Pulse Boot 053,3,5,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by Typescript branding, subtle accent color variation, product shot for Typescript Pulse Boot 053"
54,images/products/catalog-054-redis.png,Redis Forge Boot 054,3,6,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by Redis branding, subtle accent color variation, product shot for Redis Forge Boot 054"
55,images/products/catalog-055-angular.png,Angular Drift Boot 055,3,1,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by Angular branding, subtle accent color variation, product shot for Angular Drift Boot 055"
56,images/products/catalog-056-netcore.png,NetCore Nova Boot 056,3,2,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by NetCore branding, subtle accent color variation, product shot for NetCore Nova Boot 056"
57,images/products/catalog-057-vscode.png,VS Code Apex Boot 057,3,3,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by VS Code branding, subtle accent color variation, product shot for VS Code Apex Boot 057"
58,images/products/catalog-058-react.png,React Stride Boot 058,3,4,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by React branding, subtle accent color variation, product shot for React Stride Boot 058"
59,images/products/catalog-059-typescript.png,Typescript Echo Boot 059,3,5,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by Typescript branding, subtle accent color variation, product shot for Typescript Echo Boot 059"
60,images/products/catalog-060-redis.png,Redis Vertex Boot 060,3,6,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by Redis branding, subtle accent color variation, product shot for Redis Vertex Boot 060"
61,images/products/catalog-061-angular.png,Angular Velocity Boot 061,3,1,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by Angular branding, subtle accent color variation, product shot for Angular Velocity Boot 061"
62,images/products/catalog-062-netcore.png,NetCore Summit Boot 062,3,2,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by NetCore branding, subtle accent color variation, product shot for NetCore Summit Boot 062"
63,images/products/catalog-063-vscode.png,VS Code Pulse Boot 063,3,3,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by VS Code branding, subtle accent color variation, product shot for VS Code Pulse Boot 063"
64,images/products/catalog-064-react.png,React Forge Boot 064,3,4,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by React branding, subtle accent color variation, product shot for React Forge Boot 064"
65,images/products/catalog-065-typescript.png,Typescript Drift Boot 065,3,5,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by Typescript branding, subtle accent color variation, product shot for Typescript Drift Boot 065"
66,images/products/catalog-066-redis.png,Redis Nova Boot 066,3,6,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by Redis branding, subtle accent color variation, product shot for Redis Nova Boot 066"
67,images/products/catalog-067-angular.png,Angular Apex Boot 067,3,1,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by Angular branding, subtle accent color variation, product shot for Angular Apex Boot 067"
68,images/products/catalog-068-netcore.png,NetCore Stride Boot 068,3,2,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by NetCore branding, subtle accent color variation, product shot for NetCore Stride Boot 068"
69,images/products/catalog-069-vscode.png,VS Code Echo Boot 069,3,3,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by VS Code branding, subtle accent color variation, product shot for VS Code Echo Boot 069"
70,images/products/catalog-070-react.png,React Vertex Boot 070,3,4,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by React branding, subtle accent color variation, product shot for React Vertex Boot 070"
71,images/products/catalog-071-typescript.png,Typescript Velocity Boot 071,3,5,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by Typescript branding, subtle accent color variation, product shot for Typescript Velocity Boot 071"
72,images/products/catalog-072-redis.png,Redis Summit Boot 072,3,6,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by Redis branding, subtle accent color variation, product shot for Redis Summit Boot 072"
73,images/products/catalog-073-angular.png,Angular Pulse Boot 073,3,1,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by Angular branding, subtle accent color variation, product shot for Angular Pulse Boot 073"
74,images/products/catalog-074-netcore.png,NetCore Forge Boot 074,3,2,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by NetCore branding, subtle accent color variation, product shot for NetCore Forge Boot 074"
75,images/products/catalog-075-vscode.png,VS Code Drift Boot 075,3,3,"studio product photo of a premium leather winter boot, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic materials, no text, no watermark, product color palette inspired by VS Code branding, subtle accent color variation, product shot for VS Code Drift Boot 075"
76,images/products/catalog-076-react.png,React Nova Glove 076,4,4,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by React branding, subtle accent color variation, product shot for React Nova Glove 076"
77,images/products/catalog-077-typescript.png,Typescript Apex Glove 077,4,5,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by Typescript branding, subtle accent color variation, product shot for Typescript Apex Glove 077"
78,images/products/catalog-078-redis.png,Redis Stride Glove 078,4,6,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by Redis branding, subtle accent color variation, product shot for Redis Stride Glove 078"
79,images/products/catalog-079-angular.png,Angular Echo Glove 079,4,1,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by Angular branding, subtle accent color variation, product shot for Angular Echo Glove 079"
80,images/products/catalog-080-netcore.png,NetCore Vertex Glove 080,4,2,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by NetCore branding, subtle accent color variation, product shot for NetCore Vertex Glove 080"
81,images/products/catalog-081-vscode.png,VS Code Velocity Glove 081,4,3,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by VS Code branding, subtle accent color variation, product shot for VS Code Velocity Glove 081"
82,images/products/catalog-082-react.png,React Summit Glove 082,4,4,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by React branding, subtle accent color variation, product shot for React Summit Glove 082"
83,images/products/catalog-083-typescript.png,Typescript Pulse Glove 083,4,5,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by Typescript branding, subtle accent color variation, product shot for Typescript Pulse Glove 083"
84,images/products/catalog-084-redis.png,Redis Forge Glove 084,4,6,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by Redis branding, subtle accent color variation, product shot for Redis Forge Glove 084"
85,images/products/catalog-085-angular.png,Angular Drift Glove 085,4,1,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by Angular branding, subtle accent color variation, product shot for Angular Drift Glove 085"
86,images/products/catalog-086-netcore.png,NetCore Nova Glove 086,4,2,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by NetCore branding, subtle accent color variation, product shot for NetCore Nova Glove 086"
87,images/products/catalog-087-vscode.png,VS Code Apex Glove 087,4,3,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by VS Code branding, subtle accent color variation, product shot for VS Code Apex Glove 087"
88,images/products/catalog-088-react.png,React Stride Glove 088,4,4,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by React branding, subtle accent color variation, product shot for React Stride Glove 088"
89,images/products/catalog-089-typescript.png,Typescript Echo Glove 089,4,5,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by Typescript branding, subtle accent color variation, product shot for Typescript Echo Glove 089"
90,images/products/catalog-090-redis.png,Redis Vertex Glove 090,4,6,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by Redis branding, subtle accent color variation, product shot for Redis Vertex Glove 090"
91,images/products/catalog-091-angular.png,Angular Velocity Glove 091,4,1,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by Angular branding, subtle accent color variation, product shot for Angular Velocity Glove 091"
92,images/products/catalog-092-netcore.png,NetCore Summit Glove 092,4,2,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by NetCore branding, subtle accent color variation, product shot for NetCore Summit Glove 092"
93,images/products/catalog-093-vscode.png,VS Code Pulse Glove 093,4,3,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by VS Code branding, subtle accent color variation, product shot for VS Code Pulse Glove 093"
94,images/products/catalog-094-react.png,React Forge Glove 094,4,4,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by React branding, subtle accent color variation, product shot for React Forge Glove 094"
95,images/products/catalog-095-typescript.png,Typescript Drift Glove 095,4,5,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by Typescript branding, subtle accent color variation, product shot for Typescript Drift Glove 095"
96,images/products/catalog-096-redis.png,Redis Nova Glove 096,4,6,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by Redis branding, subtle accent color variation, product shot for Redis Nova Glove 096"
97,images/products/catalog-097-angular.png,Angular Apex Glove 097,4,1,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by Angular branding, subtle accent color variation, product shot for Angular Apex Glove 097"
98,images/products/catalog-098-netcore.png,NetCore Stride Glove 098,4,2,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by NetCore branding, subtle accent color variation, product shot for NetCore Stride Glove 098"
99,images/products/catalog-099-vscode.png,VS Code Echo Glove 099,4,3,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by VS Code branding, subtle accent color variation, product shot for VS Code Echo Glove 099"
100,images/products/catalog-100-react.png,React Vertex Glove 100,4,4,"studio product photo of a premium insulated glove pair, centered, clean white background, soft shadow, ecommerce catalog lighting, realistic fabric texture, no text, no watermark, product color palette inspired by React branding, subtle accent color variation, product shot for React Vertex Glove 100"
